,country,year,rgdpo,pop,emp,avh,cn,csh_c,csh_i,csh_x,csh_m
4030,Finland,1990,137362.7969,4.996222,2.473246813,1726.42,690267.9375,0.494403839,0.370940894,0.367558569,-0.401289046
4035,Finland,1995,144156.3125,5.119005,2.063220024,1732.45,815457.1875,0.474416912,0.287818193,0.481882989,-0.38382256
4040,Finland,2000,186505.8125,5.187954,2.305018187,1704.71,761065.625,0.465355337,0.271402001,0.484374285,-0.374318123
4045,Finland,2005,213170.4063,5.258927,2.424816132,1667.04,801727.75,0.474773169,0.29520148,0.546498597,-0.491836667
4050,Finland,2010,233241.9063,5.365782,2.495830297,1637.91,1161520.625,0.52274996,0.274505675,0.458644837,-0.474394441
4055,Finland,2015,228346.4063,5.481122,2.524532795,1607.14,1195239.0,0.562275708,0.254249483,0.398972392,-0.443877935
4059,Finland,2019,248551.5469,5.532156,2.673705339,1590.69,1246925.875,0.543934762,0.265291333,0.432647675,-0.479986131
4170,France,1990,1581094.75,58.235697,23.65950394,1644.85,6432617.0,0.576672554,0.278228879,0.237281278,-0.274765432
4175,France,1995,1682645.0,59.508484,23.65852165,1601.21,7275160.5,0.575882554,0.238866299,0.280982256,-0.283878654
4180,France,2000,2128715.25,60.874357,25.62522507,1558.34,6962127.0,0.574952602,0.215671152,0.279214352,-0.277341992
4185,France,2005,2372596.75,63.092888,26.33457184,1532.08,8548550.0,0.571398497,0.247329175,0.319704384,-0.33652389
4190,France,2010,2591608.5,64.952503,26.87616158,1539.8,13083475.0,0.569894075,0.256829053,0.297336727,-0.352563798
4195,France,2015,2730343.75,66.596315,27.38507652,1519.48,15219803.0,0.554317415,0.261190802,0.27533403,-0.320882678
4199,France,2019,2946958.25,67.351247,28.53256416,1504.91,16697563.0,0.541661859,0.273326486,0.274840564,-0.327384949
4310,United Kingdom,1990,1445536.75,57.134391,26.70350075,1745.94,4052509.5,0.692082584,0.251970023,0.233548224,-0.293156296
4315,United Kingdom,1995,1626361.0,57.932453,25.66979218,1722.63,5152430.5,0.615858376,0.256562889,0.244519606,-0.281893253
4320,United Kingdom,2000,2075158.75,58.923309,27.38034821,1692.95,5987333.0,0.65668571,0.215191409,0.291065574,-0.34743616
4325,United Kingdom,2005,2377112.25,60.287954,28.67258644,1669.74,6797018.0,0.656345904,0.22357735,0.300704211,-0.377686381
4330,United Kingdom,2010,2481864.75,63.459808,29.42511749,1643.21,10976813.0,0.635589719,0.228578329,0.264535308,-0.388551593
4335,United Kingdom,2015,2807567.5,65.860146,31.5069294,1669.47,13923109.0,0.606714547,0.257623076,0.254682571,-0.3523826
4339,United Kingdom,2019,2989895.5,67.530172,32.98249817,1667.95,14146595.0,0.608676434,0.246945262,0.227445394,-0.346070737
4800,Greece,1990,181550.1563,10.225992,4.062554359,2111.62,1092081.25,0.666491508,0.293495178,0.093506724,-0.221769512
4805,Greece,1995,219416.6406,10.745503,4.256537914,2110.71,1587347.375,0.662762046,0.276657075,0.097432725,-0.225409389
4810,Greece,2000,281011.9688,11.082104,4.452402592,2107.64,1532618.125,0.663134098,0.265030801,0.090443127,-0.230512843
4815,Greece,2005,326492.3125,11.224791,4.778794289,2136.24,1558741.5,0.700350523,0.257333249,0.10011448,-0.314536244
4820,Greece,2010,324407.4375,10.887637,4.637154102,2019.57,1916699.875,0.709372044,0.221934393,0.132351428,-0.34626779
4825,Greece,2015,280679.0625,10.65975,4.030077934,2031.14,2418983.0,0.679698527,0.164766669,0.162349343,-0.312542677
4829,Greece,2019,284893.625,10.473455,4.235072613,2036.46,2300537.75,0.694118679,0.162432522,0.205809832,-0.377414972
5220,Croatia,1990,65532.15234,4.776374,2.178132296,1746.1490000000003,180160.0313,0.586685002,0.113519348,0.240349621,-0.278507531
5225,Croatia,1995,47557.91406,4.616766,1.660306573,1923.69,174699.25,0.611554682,0.137412265,0.20073846,-0.331925064
5230,Croatia,2000,59457.61328,4.428075,1.670290828,1922.09,214384.7969,0.597050548,0.179404244,0.176082015,-0.32100597
5235,Croatia,2005,79473.25,4.378058,1.761981964,1926.5,280593.9375,0.627610743,0.287325144,0.220237419,-0.473024368
5240,Croatia,2010,93659.13281,4.328165,1.814759493,1942.99,429728.3438,0.587186873,0.233560979,0.203140736,-0.379601032
5245,Croatia,2015,95440.57031,4.232874,1.699733138,1827.65,518960.4063,0.545787275,0.23503986,0.218018919,-0.416906863
5249,Croatia,2019,107392.0391,4.130304,1.817624331,1831.32,531400.6875,0.535511792,0.264994889,0.242799014,-0.473110437
5360,Hungary,1990,147425.9063,10.377137,5.126381397,1888.77,443217.7813,0.533994615,0.178230673,0.145954385,-0.11942064
5365,Hungary,1995,151671.0938,10.349302,3.951457262,1948.01,463510.2188,0.54580152,0.170561686,0.243058547,-0.261862814
5370,Hungary,2000,169189.0938,10.220507,4.120501518,1932.4,459546.375,0.569688499,0.206765905,0.408931971,-0.455630362
5375,Hungary,2005,213748.7969,10.085937,4.122547626,1834.05,573763.25,0.59602046,0.238711432,0.631055772,-0.712869048
5380,Hungary,2010,236413.0938,9.92737,3.920938253,1766.36,1004131.875,0.535440266,0.210446298,0.710357487,-0.742180765
5385,Hungary,2015,247172.9063,9.777923,4.285135269,1745.95,1231288.875,0.497520238,0.258939326,0.673032343,-0.71766609
5389,Hungary,2019,283145.1563,9.684679,4.711576939,1725.23,1359222.5,0.511578858,0.300990701,0.689729095,-0.784299314
5570,Ireland,1990,66850.16406,3.510885,1.21543324,2080.24,220680.1719,0.59389174,0.272143066,0.644983947,-0.644763947
5575,Ireland,1995,92206.91406,3.592186,1.323488355,1962.0,327445.5625,0.501307547,0.254372329,0.787268281,-0.631401539
5580,Ireland,2000,150364.5469,3.783103,1.688738585,1932.72,383262.1563,0.445862442,0.238082886,0.938887298,-0.624802709
5585,Ireland,2005,231393.4531,4.141223,1.956697941,1883.19,525758.8125,0.373450249,0.274591923,0.842649043,-0.508619905
5590,Ireland,2010,241319.5156,4.554321,1.883175969,1720.97,1015873.688,0.399653047,0.225732639,0.745571196,-0.409041733
5595,Ireland,2015,353539.0,4.652425,1.988947511,1770.58,1263069.875,0.265586048,0.342876554,0.540451169,-0.373547703
5599,Ireland,2019,501053.5938,4.882495,2.260447741,1771.98,1805561.375,0.214789078,0.56986171,0.512966752,-0.338840604
5780,Iceland,1990,8657.974609,0.255043,0.138074413,1664.4,44731.9375,0.562433481,0.274181217,0.390165597,-0.414426953
5785,Iceland,1995,8842.123047,0.267629,0.142898634,1641.37,48633.01172,0.561562061,0.240381807,0.397055894,-0.408961177
5790,Iceland,2000,11070.05957,0.280435,0.157085523,1695.38,56147.39063,0.612685084,0.322048187,0.389034301,-0.528004766
5795,Iceland,2005,13454.31152,0.294979,0.161491096,1637.21,65391.98438,0.639260411,0.465481669,0.445396066,-0.741153181
5800,Iceland,2010,13883.66797,0.320328,0.164442271,1503.05,64045.79688,0.547658503,0.151377097,0.522070825,-0.510024011
